School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,region
John Brown University,0.7374,0.0166,0.0781,0.0124,0.0124,0.0014,0.0504,0.0684,0.0228,0.3974,0.6026,4,2,5
John Brown University,0.7374,0.0166,0.0781,0.0124,0.0124,0.0014,0.0504,0.0684,0.0228,0.3974,0.6026,4,2,5
Career Academy of Hair Design,0.6793,0.0543,0.1467,0.0272,0.0707,0.0054,0.0163,0.0,0.0,0.038,0.962,1,3,5
Academy of Salon and Spa,0.5714,0.127,0.1587,0.0159,0.0635,0.0159,0.0476,0.0,0.0,0.0159,0.9841,1,3,5
Academy of Salon and Spa,0.5714,0.127,0.1587,0.0159,0.0635,0.0159,0.0476,0.0,0.0,0.0159,0.9841,1,3,5
Academy of Salon and Spa,0.5714,0.127,0.1587,0.0159,0.0635,0.0159,0.0476,0.0,0.0,0.0159,0.9841,1,3,5
Arkansas State University Mid-South,0.3362,0.5552,0.0441,0.0068,0.0051,0.0,0.0357,0.0153,0.0017,0.3548,0.6452,2,1,5
Arkansas Northeastern College,0.622,0.3028,0.0588,0.0054,0.0011,0.0,0.0087,0.0,0.0011,0.3606,0.6394,2,1,5
Arkansas Northeastern College,0.622,0.3028,0.0588,0.0054,0.0011,0.0,0.0087,0.0,0.0011,0.3606,0.6394,2,1,5
Arkansas Northeastern College,0.622,0.3028,0.0588,0.0054,0.0011,0.0,0.0087,0.0,0.0011,0.3606,0.6394,2,1,5
Arkansas Northeastern College,0.622,0.3028,0.0588,0.0054,0.0011,0.0,0.0087,0.0,0.0011,0.3606,0.6394,2,1,5
New Tyler Barber College Inc,0.0,0.9333,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.6333,0.3667,1,3,5
